CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
740550000,Challonges (commune non irisée),Z,74055,Challonges
740560101,Les Bossons-Les Moussoux,H,74056,Chamonix-Mont-Blanc
740560102,Les Pèlerins-Le Betty,H,74056,Chamonix-Mont-Blanc
740560103,Chamonix Sud Bois du Bouchet,H,74056,Chamonix-Mont-Blanc
740560104,La Tour Argentière-Les Praz,H,74056,Chamonix-Mont-Blanc
740570000,Champanges (commune non irisée),Z,74057,Champanges
740580000,La Chapelle-d'Abondance (commune non irisée),Z,74058,La Chapelle-d'Abondance
740590000,La Chapelle-Rambaud (commune non irisée),Z,74059,La Chapelle-Rambaud
740600000,La Chapelle-Saint-Maurice (commune non irisée),Z,74060,La Chapelle-Saint-Maurice
740610000,Chapeiry (commune non irisée),Z,74061,Chapeiry
740620000,Charvonnex (commune non irisée),Z,74062,Charvonnex
740630000,Châtel (commune non irisée),Z,74063,Châtel
740640000,Châtillon-sur-Cluses (commune non irisée),Z,74064,Châtillon-sur-Cluses
740650000,Chaumont (commune non irisée),Z,74065,Chaumont
740660000,Chavannaz (commune non irisée),Z,74066,Chavannaz
740670000,Chavanod (commune non irisée),Z,74067,Chavanod
740680000,Chêne-en-Semine (commune non irisée),Z,74068,Chêne-en-Semine
740690000,Chênex (commune non irisée),Z,74069,Chênex
740700000,Chens-sur-Léman (commune non irisée),Z,74070,Chens-sur-Léman
740710000,Chessenaz (commune non irisée),Z,74071,Chessenaz
740720000,Chevaline (commune non irisée),Z,74072,Chevaline
740730000,Chevenoz (commune non irisée),Z,74073,Chevenoz
740740000,Chevrier (commune non irisée),Z,74074,Chevrier
740750000,Chilly (commune non irisée),Z,74075,Chilly
740760000,Choisy (commune non irisée),Z,74076,Choisy
740770000,Clarafond-Arcine (commune non irisée),Z,74077,Clarafond-Arcine
740780000,Clermont (commune non irisée),Z,74078,Clermont
740790000,Les Clefs (commune non irisée),Z,74079,Les Clefs
740800000,La Clusaz (commune non irisée),Z,74080,La Clusaz
740810101,La Serdagne Ouest,H,74081,Cluses
740810102,La Serdagne Est,H,74081,Cluses
740810201,Les Ewues,H,74081,Cluses
740810301,Les Villages,H,74081,Cluses
740810401,Centre Ville,H,74081,Cluses
740810501,Messy,H,74081,Cluses
740810601,La Maladière,A,74081,Cluses
740820000,Collonges-sous-Salève (commune non irisée),Z,74082,Collonges-sous-Salève
740830000,Combloux (commune non irisée),Z,74083,Combloux
740850000,Les Contamines-Montjoie (commune non irisée),Z,74085,Les Contamines-Montjoie
740860000,Contamine-Sarzin (commune non irisée),Z,74086,Contamine-Sarzin
740870000,Contamine-sur-Arve (commune non irisée),Z,74087,Contamine-sur-Arve
740880000,Copponex (commune non irisée),Z,74088,Copponex
740890000,Cordon (commune non irisée),Z,74089,Cordon
740900000,Cornier (commune non irisée),Z,74090,Cornier
740910000,La Côte-d'Arbroz (commune non irisée),Z,74091,La Côte-d'Arbroz
740940000,Cranves-Sales (commune non irisée),Z,74094,Cranves-Sales
740950000,Crempigny-Bonneguête (commune non irisée),Z,74095,Crempigny-Bonneguête
740960000,Cruseilles (commune non irisée),Z,74096,Cruseilles
740970000,Cusy (commune non irisée),Z,74097,Cusy
740980000,Cuvat (commune non irisée),Z,74098,Cuvat
740990000,Demi-Quartier (commune non irisée),Z,74099,Demi-Quartier
741000000,Desingy (commune non irisée),Z,74100,Desingy
741010000,Dingy-en-Vuache (commune non irisée),Z,74101,Dingy-en-Vuache
741020000,Dingy-Saint-Clair (commune non irisée),Z,74102,Dingy-Saint-Clair
741030000,Domancy (commune non irisée),Z,74103,Domancy
741040000,Doussard (commune non irisée),Z,74104,Doussard
741050000,Douvaine (commune non irisée),Z,74105,Douvaine
